Samplingpoint,CustomLabel
*A23.65515*,A23 Südosttangente/Wehlistraße	(Gravi)
*A23.65516*,A23 Südosttangente/Wehlistraße (automatic)
*AKC.5066*,AKH (Allgemeines Krankenhaus) (automatic)
*AKC.55371*,AKH (Allgemeines Krankenhaus) (Gravi)
*BELG.67350*,Belgradplatz (automatic)
*BELG.68289*,Belgradplatz (Gravi)
*FLO.67351*,Floridsdorf (automatic)
*FLO.67752*,Floridsdorf (Gravi)
*GAUD.67352*,Gaudenzdorf (automatic)
*GAUD.67908*,Gaudenzdorf (Gravi)
*KE.66730*,Kaiser-Ebersdorf (automatic)
*KE.68290*,Kaiser-Ebersdorf (Gravi)
*KEND.64383*,Kendlerstraße (gravi)
*KEND.64567*,Kendlerstraße (automatic)
*LAA.67353*,Laaer Berg (automatic)
*LIES.67354*,Liesing - Carlberger-Gasse Gewerbegebiet (automatic)
*LOB.64389*,Lobau (gravi)
*LOB.64566*,Lobau (automatic)
*SCHA.66729*,Schafberg (automatic)
*SCHA.68291*,Schafberg (gravi)
*STAD.64391*,Stadlau (gravi)
*STAD.64538*,Stadlau (automatic)
*TAB.56213*,Taborstraße (automatic)
*TAB.56396*,Taborstraße (gravi)
