Month,Samplingpoint,ExceedCount,CustomLabel
2022-12-01,AT/SPO.09.A23.65516.6001.1,0,A23 Südosttangente/Wehlistraße	(Gravi)
2022-12-01,AT/SPO.09.AKC.5066.6001.1,0,AKH (Allgemeines Krankenhaus) (Automatic)
2022-12-01,AT/SPO.09.BELG.67350.6001.1,0,Belgradplatz (Automatic)
2022-12-01,AT/SPO.09.FLO.67351.6001.1,0,Floridsdorf (Automatic)
2022-12-01,AT/SPO.09.GAUD.67352.6001.1,0,Gaudenzdorf (Automatic)
2022-12-01,AT/SPO.09.KE.66730.6001.1,0,Kaiser-Ebersdorf (Automatic)
2022-12-01,AT/SPO.09.KEND.64567.6001.1,0,Kendlerstraße (Automatic)
2022-12-01,AT/SPO.09.LAA.67353.6001.1,0,Laaer Berg (Automatic)
2022-12-01,AT/SPO.09.LIES.67354.6001.1,0,Liesing - Carlberger-Gasse Gewerbegebiet (Automatic)
2022-12-01,AT/SPO.09.LOB.64566.6001.1,0,Lobau (Automatic)
2022-12-01,AT/SPO.09.SCHA.66729.6001.1,0,Schafberg (Automatic)
2022-12-01,AT/SPO.09.STAD.64538.6001.1,0,Stadlau (Automatic)
2022-12-01,AT/SPO.09.TAB.56213.6001.1,0,Taborstraße (Automatic)
2023-01-01,AT/SPO.09.A23.65516.6001.1,0,A23 Südosttangente/Wehlistraße	(Gravi)
2023-01-01,AT/SPO.09.AKC.5066.6001.1,0,AKH (Allgemeines Krankenhaus) (Automatic)
2023-01-01,AT/SPO.09.BELG.67350.6001.1,0,Belgradplatz (Automatic)
2023-01-01,AT/SPO.09.FLO.67351.6001.1,0,Floridsdorf (Automatic)
2023-01-01,AT/SPO.09.GAUD.67352.6001.1,0,Gaudenzdorf (Automatic)
2023-01-01,AT/SPO.09.KE.66730.6001.1,0,Kaiser-Ebersdorf (Automatic)
2023-01-01,AT/SPO.09.KEND.64567.6001.1,0,Kendlerstraße (Automatic)
2023-01-01,AT/SPO.09.LAA.67353.6001.1,0,Laaer Berg (Automatic)
2023-01-01,AT/SPO.09.LIES.67354.6001.1,0,Liesing - Carlberger-Gasse Gewerbegebiet (Automatic)
2023-01-01,AT/SPO.09.LOB.64566.6001.1,0,Lobau (Automatic)
2023-01-01,AT/SPO.09.SCHA.66729.6001.1,0,Schafberg (Automatic)
2023-01-01,AT/SPO.09.STAD.64538.6001.1,0,Stadlau (Automatic)
2023-01-01,AT/SPO.09.TAB.56213.6001.1,0,Taborstraße (Automatic)
2023-02-01,AT/SPO.09.A23.65516.6001.1,0,A23 Südosttangente/Wehlistraße	(Gravi)
2023-02-01,AT/SPO.09.AKC.5066.6001.1,0,AKH (Allgemeines Krankenhaus) (Automatic)
2023-02-01,AT/SPO.09.BELG.67350.6001.1,0,Belgradplatz (Automatic)
2023-02-01,AT/SPO.09.FLO.67351.6001.1,0,Floridsdorf (Automatic)
2023-02-01,AT/SPO.09.GAUD.67352.6001.1,0,Gaudenzdorf (Automatic)
2023-02-01,AT/SPO.09.KE.66730.6001.1,0,Kaiser-Ebersdorf (Automatic)
2023-02-01,AT/SPO.09.KEND.64567.6001.1,0,Kendlerstraße (Automatic)
2023-02-01,AT/SPO.09.LAA.67353.6001.1,0,Laaer Berg (Automatic)
2023-02-01,AT/SPO.09.LIES.67354.6001.1,0,Liesing - Carlberger-Gasse Gewerbegebiet (Automatic)
2023-02-01,AT/SPO.09.LOB.64566.6001.1,0,Lobau (Automatic)
2023-02-01,AT/SPO.09.SCHA.66729.6001.1,0,Schafberg (Automatic)
2023-02-01,AT/SPO.09.STAD.64538.6001.1,0,Stadlau (Automatic)
2023-02-01,AT/SPO.09.TAB.56213.6001.1,0,Taborstraße (Automatic)
2023-03-01,AT/SPO.09.A23.65516.6001.1,0,A23 Südosttangente/Wehlistraße	(Gravi)
2023-03-01,AT/SPO.09.AKC.5066.6001.1,0,AKH (Allgemeines Krankenhaus) (Automatic)
2023-03-01,AT/SPO.09.BELG.67350.6001.1,0,Belgradplatz (Automatic)
2023-03-01,AT/SPO.09.FLO.67351.6001.1,0,Floridsdorf (Automatic)
2023-03-01,AT/SPO.09.GAUD.67352.6001.1,0,Gaudenzdorf (Automatic)
2023-03-01,AT/SPO.09.KE.66730.6001.1,0,Kaiser-Ebersdorf (Automatic)
2023-03-01,AT/SPO.09.KEND.64567.6001.1,0,Kendlerstraße (Automatic)
2023-03-01,AT/SPO.09.LAA.67353.6001.1,0,Laaer Berg (Automatic)
2023-03-01,AT/SPO.09.LIES.67354.6001.1,0,Liesing - Carlberger-Gasse Gewerbegebiet (Automatic)
2023-03-01,AT/SPO.09.LOB.64566.6001.1,0,Lobau (Automatic)
2023-03-01,AT/SPO.09.SCHA.66729.6001.1,0,Schafberg (Automatic)
2023-03-01,AT/SPO.09.STAD.64538.6001.1,0,Stadlau (Automatic)
2023-03-01,AT/SPO.09.TAB.56213.6001.1,0,Taborstraße (Automatic)
2023-04-01,AT/SPO.09.A23.65516.6001.1,0,A23 Südosttangente/Wehlistraße	(Gravi)
2023-04-01,AT/SPO.09.AKC.5066.6001.1,0,AKH (Allgemeines Krankenhaus) (Automatic)
2023-04-01,AT/SPO.09.BELG.67350.6001.1,0,Belgradplatz (Automatic)
2023-04-01,AT/SPO.09.FLO.67351.6001.1,0,Floridsdorf (Automatic)
2023-04-01,AT/SPO.09.GAUD.67352.6001.1,0,Gaudenzdorf (Automatic)
2023-04-01,AT/SPO.09.KE.66730.6001.1,0,Kaiser-Ebersdorf (Automatic)
2023-04-01,AT/SPO.09.KEND.64567.6001.1,0,Kendlerstraße (Automatic)
2023-04-01,AT/SPO.09.LAA.67353.6001.1,0,Laaer Berg (Automatic)
2023-04-01,AT/SPO.09.LIES.67354.6001.1,0,Liesing - Carlberger-Gasse Gewerbegebiet (Automatic)
2023-04-01,AT/SPO.09.LOB.64566.6001.1,0,Lobau (Automatic)
2023-04-01,AT/SPO.09.SCHA.66729.6001.1,0,Schafberg (Automatic)
2023-04-01,AT/SPO.09.STAD.64538.6001.1,0,Stadlau (Automatic)
2023-04-01,AT/SPO.09.TAB.56213.6001.1,0,Taborstraße (Automatic)
2023-05-01,AT/SPO.09.A23.65516.6001.1,0,A23 Südosttangente/Wehlistraße	(Gravi)
2023-05-01,AT/SPO.09.AKC.5066.6001.1,0,AKH (Allgemeines Krankenhaus) (Automatic)
2023-05-01,AT/SPO.09.BELG.67350.6001.1,0,Belgradplatz (Automatic)
2023-05-01,AT/SPO.09.FLO.67351.6001.1,0,Floridsdorf (Automatic)
2023-05-01,AT/SPO.09.GAUD.67352.6001.1,0,Gaudenzdorf (Automatic)
2023-05-01,AT/SPO.09.KE.66730.6001.1,0,Kaiser-Ebersdorf (Automatic)
