Month,Samplingpoint,ExceedCount,CustomLabel
1999-06-01,AT/SPO.09.AKC.55371.6001.1,10,AKH (Allgemeines Krankenhaus) (Gravi)
1999-07-01,AT/SPO.09.AKC.55371.6001.1,15,AKH (Allgemeines Krankenhaus) (Gravi)
1999-08-01,AT/SPO.09.AKC.55371.6001.1,14,AKH (Allgemeines Krankenhaus) (Gravi)
1999-09-01,AT/SPO.09.AKC.55371.6001.1,20,AKH (Allgemeines Krankenhaus) (Gravi)
1999-10-01,AT/SPO.09.AKC.55371.6001.1,18,AKH (Allgemeines Krankenhaus) (Gravi)
1999-11-01,AT/SPO.09.AKC.55371.6001.1,24,AKH (Allgemeines Krankenhaus) (Gravi)
1999-12-01,AT/SPO.09.AKC.55371.6001.1,25,AKH (Allgemeines Krankenhaus) (Gravi)
2000-01-01,AT/SPO.09.AKC.55371.6001.1,28,AKH (Allgemeines Krankenhaus) (Gravi)
2000-02-01,AT/SPO.09.AKC.55371.6001.1,21,AKH (Allgemeines Krankenhaus) (Gravi)
2000-03-01,AT/SPO.09.AKC.55371.6001.1,20,AKH (Allgemeines Krankenhaus) (Gravi)
2000-04-01,AT/SPO.09.AKC.55371.6001.1,18,AKH (Allgemeines Krankenhaus) (Gravi)
2000-05-01,AT/SPO.09.AKC.55371.6001.1,11,AKH (Allgemeines Krankenhaus) (Gravi)
2000-06-01,AT/SPO.09.AKC.55371.6001.1,0,AKH (Allgemeines Krankenhaus) (Gravi)
2005-01-01,AT/SPO.09.AKC.55371.6001.1,16,AKH (Allgemeines Krankenhaus) (Gravi)
2005-02-01,AT/SPO.09.AKC.55371.6001.1,24,AKH (Allgemeines Krankenhaus) (Gravi)
2005-03-01,AT/SPO.09.AKC.55371.6001.1,24,AKH (Allgemeines Krankenhaus) (Gravi)
2005-04-01,AT/SPO.09.AKC.55371.6001.1,21,AKH (Allgemeines Krankenhaus) (Gravi)
2005-05-01,AT/SPO.09.AKC.55371.6001.1,13,AKH (Allgemeines Krankenhaus) (Gravi)
2005-06-01,AT/SPO.09.AKC.55371.6001.1,9,AKH (Allgemeines Krankenhaus) (Gravi)
2005-07-01,AT/SPO.09.AKC.55371.6001.1,9,AKH (Allgemeines Krankenhaus) (Gravi)
2005-08-01,AT/SPO.09.AKC.55371.6001.1,11,AKH (Allgemeines Krankenhaus) (Gravi)
2005-09-01,AT/SPO.09.AKC.55371.6001.1,21,AKH (Allgemeines Krankenhaus) (Gravi)
